"[0, 0, 0, 0, 0, 0, 'P0', 0]","(0, 'MOV', 'P0')",-42247.092659446265
"[1, 0, 0, 0, 0, 0, 'P0', 0]","(0, 'MOV', 'F0T2')",-41293.96885878923
"[1, 0, 0, 0, 0, 0, 'F0T2', 0]","(0, 'MOV', 'P2')",-44327.887595766275
"[1, 0, 0, 0, 0, 0, 'P2', 0]","(0, 'EXE', 'T1')",-44095.70632413307
"[1, 0, 0, 0, 0, 0, 'P2', 1]","(0, 'MOV', 'F0T2')",-44334.36131249259
"[1, 1, 0, 0, 0, 0, 'P2', 0]","(0, 'MOV', 'G2')",-43761.95297558754
"[1, 1, 0, 0, 0, 0, 'G2', 0]","(0, 'MOV', 'F2T5')",-43756.49719961812
"[1, 1, 0, 0, 0, 0, 'F2T5', 0]","(0, 'EXE', 'T1')",-43748.5052198295
"[1, 1, 0, 0, 0, 0, 'F2T5', 1]","(0, 'MOV', 'P2')",-43741.188842660944
"[1, 1, 0, 0, 0, 0, 'P2', 0]","(0, 'MOV', 'F2T5')",-43721.03664853425
"[1, 1, 0, 0, 0, 0, 'F2T5', 0]","(0, 'MOV', 'P5')",-43679.64302414642
"[1, 1, 0, 0, 0, 0, 'P5', 0]","(0, 'MOV', 'G5')",-43648.97441391648
"[1, 1, 0, 0, 0, 0, 'G5', 0]","(0, 'MOV', 'F2T5')",-43599.08243220509
"[1, 1, 0, 0, 0, 0, 'F2T5', 0]","(0, 'MOV', 'F5T3')",-43500.289438057014
"[1, 1, 0, 0, 0, 0, 'F5T3', 0]","(0, 'EXE', 'T1')",-43357.31991757606
"[1, 1, 0, 0, 0, 0, 'P3', 0]","(0, 'MOV', 'F5T3')",-43587.93499191713
"[1, 1, 0, 0, 0, 0, 'F5T3', 1]","(0, 'MOV', 'P3')",-43594.94343709126
"[1, 1, 0, 0, 0, 0, 'F5T3', 0]","(0, 'EXE', 'T1')",-43031.16564255205
"[1, 1, 0, 0, 0, 0, 'F5T3', 0]","(0, 'MOV', 'P3')",-43028.57358764592
"[1, 1, 0, 0, 0, 0, 'P3', 0]","(0, 'MOV', 'G3')",-43022.09551171245
"[1, 1, 0, 0, 0, 0, 'G3', 0]","(0, 'MOV', 'F3T4')",-42998.931524326785
"[1, 1, 0, 0, 0, 0, 'F3T4', 0]","(0, 'EXE', 'T1')",-42968.23200694833
"[1, 1, 0, 0, 0, 0, 'F3T4', 1]","(0, 'MOV', 'P3')",-42918.78892663039
"[1, 1, 0, 0, 0, 0, 'P3', 0]","(0, 'MOV', 'F3T4')",-42815.959751590555
"[1, 1, 0, 0, 0, 0, 'F3T4', 0]","(0, 'MOV', 'F4T2')",-42702.622399506814
"[1, 1, 0, 0, 0, 0, 'P4', 0]","(0, 'MOV', 'G4')",-42873.488118387526
"[1, 1, 0, 0, 0, 0, 'G4', 0]","(0, 'MOV', 'F3T4')",-42808.61123821728
"[1, 1, 0, 0, 0, 0, 'F4T2', 0]","(0, 'EXE', 'T0')",-42529.97930040048
"[1, 1, 0, 0, 0, 0, 'P2', 0]","(0, 'MOV', 'F4T2')",-42800.24231490735
"[1, 1, 0, 0, 0, 0, 'F4T2', 1]","(0, 'MOV', 'P2')",-42819.7221717917
"[1, 1, 0, 0, 0, 0, 'F4T2', 0]","(0, 'EXE', 'T1')",-42151.2361684894
"[1, 1, 0, 0, 0, 0, 'F4T2', 0]","(0, 'MOV', 'P2')",-42058.56441966582
"[1, 1, 0, 0, 0, 0, 'P2', 0]","(0, 'MOV', 'F2T5')",-41809.436164103034
"[1, 1, 0, 0, 0, 0, 'G2', 0]","(0, 'MOV', 'F2T4')",-42171.679057313406
